"filename", "language", "JSON", "Swift", "C++", "Markdown", "YAML", "XML", "HTML", "Dart", "Properties", "Gradle", "comment", "blank", "total"
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\entities\game_status_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 48, 18, 126
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\entities\x_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\db\get_and_update_day_number_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 31
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\logic\logics_utils_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\logics_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 58, 14, 127
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\test\scenarioes_tests\scenario_01_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 26, 29, 156
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 248, 54, 538, 23, 69, 535, 38, 13908, 8, 94, 1349, 2080, 18944
